Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
firstor2,FR,13145,1793,86.105.212.130,tor7.terjan.net,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2016-05-17,FIRSTHEBERG- FR,197922,40000,None
FishersTorRelay1,DE,4670,373,138.201.3.75,hp42.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2016-12-31,HETZNER-AS- DE,24940,15000,None
Fission1,CA,14327,889,158.69.30.132,tor1.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-01-07,OVH- FR,16276,35000,[2001:470:b130:22::10]:443
Fission2,CA,9925,889,158.69.30.133,tor2.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-01-07,OVH- FR,16276,23100,[2001:470:b130:22::20]:443
Fission3,FR,5753,889,51.255.26.152,tor3.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-02-06,OVH- FR,16276,11000,[2001:470:ca94:32::10]:443
Fission4,FR,8161,889,51.255.26.153,tor4.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-02-06,OVH- FR,16276,20000,[2001:470:ca94:32::20]:443
Fission5,FR,6794,889,51.255.26.154,tor5.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-02-06,OVH- FR,16276,19000,[2001:470:ca94:32::30]:443
Fission6,FR,5632,889,51.255.26.155,tor6.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-02-06,OVH- FR,16276,11000,[2001:470:ca94:32::40]:443
Fission7,FR,9531,889,51.68.187.152,tor7.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-02-05,OVH- FR,16276,25000,[2001:470:7750:42::10]:443
Fission8,FR,7281,889,51.75.86.103,tor8.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-02-05,OVH- FR,16276,18900,[2001:470:7750:42::20]:443
Fission9,FR,9285,889,51.77.72.200,tor9.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-02-06,OVH- FR,16276,19500,[2001:470:7750:42::30]:443
FissionEx1,US,5327,889,147.135.78.157,torex1.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-07-31,OVH- FR,16276,18000,[2604:2dc0:101:100::a7]:443
FissionEx2,CA,8720,889,158.69.63.54,torex2.fissionrelays.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-07-08,OVH- FR,16276,12500,[2607:5300:201:3100::34b0]:443
FissionEx3,DE,20851,889,159.69.207.20,torex3.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-10-15,HETZNER-AS- DE,24940,64000,[2a01:4f8:1c1c:6cde::1]:443
FissionEx4,US,8191,889,66.23.227.135,torex4.fissionrelays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-02-03,IS-AS-1 - Interserver- Inc- US,19318,24700,None
FiveBillionEyes,GB,2,486,193.119.102.93,193-119-102-93.tpgi.com.au,2501,2502,0,0,0,0,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2019-06-29,TPG-INTERNET-AP TPG Telecom Limited- AU,7545,38,None
FiveBoxingWizards,ES,1236,1275,88.4.94.68,68.red-88-4-94.dynamicip.rima-tde.net,80,81,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-04-20,TELEFONICA_DE_ESPANA- ES,3352,3400,None
fjutor01,TW,25,742,140.136.150.68,140.136.150.68,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-07-26,FJU-AS-TW Fu Jen Catholic University- TW,38845,42,None
FlashBanana,DE,119,201,85.25.159.253,static-ip-85-25-159-253.inaddr.ip-pool.com,47044,None,0,0,1,0,0,0,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-03-18,GD-EMEA-DC-SXB1- DE,8972,2680,[2001:14f7:4f:2b01:e:8ff:fe40:c18c]:47044
FlashBear,RU,2115,411,185.22.174.119,185.22.174.119,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2017-12-04,FISHNET-AS- RU,43317,6280,[2a00:1838:36:115::8a3d]:9001
FlashDeer,DE,2555,342,193.25.100.180,vps2751.first-root.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.16 on Linux,0,0,2018-03-19,FIRSTROOT-AS- DE,41108,6770,[2001:67c:12a0:3:24a9:8838:3642:9244]:9001
FlashEagle,RU,1746,1063,46.29.163.225,46.29.163.225,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-12-08,ASBAXET- RU,51659,4890,None
FlashHare,NL,687,1063,5.2.67.58,5.2.67.58,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2017-11-29,LITESERVER- NL,60404,1410,[2a04:52c0:101:687::2d76]:9001
FlashLizard,BG,957,410,185.82.219.85,domain.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2017-11-25,ITL-- BG,59729,3000,[2a02:27aa::505]:9001
FlashOwl,RO,612,1064,188.213.49.55,188.213.49.55,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2016-11-27,PARFUMURI-FEMEI-AS- RO,44220,3970,None
FlashStork,LU,2029,648,104.244.76.34,104.244.76.34,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-02-09,PONYNET - FranTech Solutions- US,53667,6590,[2605:6400:30:fb2c:d8ae:baf3:429d:5b7e]:9001
flatcap,GB,1472,330,178.79.161.177,flatcap.org,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2015-07-10,LINODE-AP Linode- LLC- US,63949,3800,[2a01:7e00::f03c:91ff:fe93:4455]:9001
fleischgewehr,FR,6065,999,51.15.65.243,243-65-15-51.rev.cloud.scaleway.com,443,444,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-12-13,AS12876- FR,12876,12000,None
fleischkaesesemmel,DE,135,321,46.81.199.32,p2E51C720.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2016-12-23,DTAG Internet service provider operations- DE,3320,550,None
flexible,DE,1203,196,80.144.211.53,p5090D335.dip0.t-ipconnect.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-02-08,DTAG Internet service provider operations- DE,3320,4760,None
florian,FR,317,39,5.135.152.143,ns3296562.ip-5-135-152.eu,4444,None,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2015-04-11,OVH- FR,16276,730,None
FlorzsNode,DE,187,25,149.154.159.172,149.154.159.172,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.4.0.5 on Linux,0,0,2014-07-31,TTM- DE,47447,566,None
