id,url,hostname,size (bytes),size (kilobytes),mimetype
37,https://secure.bankofamerica.com/pa/components/utilities/ah-continuous-auth-util/1.1/deploy/cau-login.js,secure.bankofamerica.com,0,0.0,application/x-javascript
38,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-icons-Infographic-Simple-CSX6b4e2aae.svg,www2.bac-assets.com,0,0.0,image/svg+xml
39,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-icons-Calculator-Simple-CSX9bb359bc.svg,www2.bac-assets.com,0,0.0,image/svg+xml
40,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-icons-Video-Simple-CSXae056e32.svg,www2.bac-assets.com,0,0.0,image/svg+xml
41,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-bmh-module-home-own-3_HomeOwn_3_319x363-CSXd734cc87.svg,www2.bac-assets.com,0,0.0,image/svg+xml
42,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-bmh-module-default-0_Default_2_319x363-CSX4141ca60.svg,www2.bac-assets.com,0,0.0,image/svg+xml
43,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-bmh-module-saving-2_Saving_1_319x363-CSX576d7c82.svg,www2.bac-assets.com,0,0.0,image/svg+xml
44,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-bmh-module-family-7_Family_2_319x363-CSXb4cde9e1.svg,www2.bac-assets.com,0,0.0,image/svg+xml
45,https://tags.tiqcdn.com/dle/bofa/main/prod-_-homepage-content-personal-homepage_personal.js,tags.tiqcdn.com,-1,-0.0009765625,application/javascript
46,https://rail.bankofamerica.com/30306/hover.js?dt=login&r=0.9942764714449099,rail.bankofamerica.com,-1,-0.0009765625,application/x-javascript
47,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.16.js?utv=ut4.46.201805251702,tags.tiqcdn.com,0,0.0,text/javascript
48,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.21.js?utv=ut4.46.201909110040,tags.tiqcdn.com,0,0.0,text/javascript
49,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.29.js?utv=ut4.46.201907181709,tags.tiqcdn.com,0,0.0,text/javascript
50,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.35.js?utv=ut4.46.201907181709,tags.tiqcdn.com,0,0.0,text/javascript
51,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.36.js?utv=ut4.46.201807051612,tags.tiqcdn.com,0,0.0,text/javascript
52,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.37.js?utv=ut4.46.201810041758,tags.tiqcdn.com,0,0.0,text/javascript
53,https://tags.tiqcdn.com/utag/bofa/main/prod/utag.42.js?utv=ut4.46.201908221926,tags.tiqcdn.com,0,0.0,text/javascript
